motif	ID	Name	Species	Class	Family
MA0074.1_RXRA::VDR	MA0074.1	RXRA::VDR	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0077.1_SOX9	MA0077.1	SOX9	Homo sapiens	High-mobility group (HMG) domain factors	SOX-related factors
MA0078.1_Sox17	MA0078.1	Sox17	Mus musculus	High-mobility group (HMG) domain factors	SOX-related factors
MA0084.1_SRY	MA0084.1	SRY	Homo sapiens	High-mobility group (HMG) domain factors	SOX-related factors
MA0087.1_Sox5	MA0087.1	Sox5	Mus musculus	High-mobility group (HMG) domain factors	SOX-related factors
MA0091.1_TAL1::TCF3	MA0091.1	TAL1::TCF3	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0091.1_TAL1::TCF3	MA0091.1	TAL1::TCF3	Homo sapiens	Basic helix-loop-helix factors (bHLH)	E2A-related factors
MA0092.1_Hand1::Tcf3	MA0092.1	Hand1::Tcf3	Mus musculus	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0092.1_Hand1::Tcf3	MA0092.1	Hand1::Tcf3	Mus musculus	Basic helix-loop-helix factors (bHLH)	E2A-related factors
MA0101.1_REL	MA0101.1	REL	Homo sapiens	Rel homology region (RHR) factors	NF-kappaB-related factors
MA0107.1_RELA	MA0107.1	RELA	Homo sapiens	Rel homology region (RHR) factors	NF-kappaB-related factors
MA0111.1_Spz1	MA0111.1	Spz1	Mus musculus	Basic helix-loop-helix factors (bHLH)	NA
MA0115.1_NR1H2::RXRA	MA0115.1	NR1H2::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0115.1_NR1H2::RXRA	MA0115.1	NR1H2::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0119.1_NFIC::TLX1	MA0119.1	NFIC::TLX1	Homo sapiens	SMAD/NF-1 DNA-binding domain factors	Nuclear factor 1
MA0119.1_NFIC::TLX1	MA0119.1	NFIC::TLX1	Homo sapiens	Homeo domain factors	NK-related factors
MA0125.1_Nobox	MA0125.1	Nobox	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0130.1_ZNF354C	MA0130.1	ZNF354C	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0135.1_Lhx3	MA0135.1	Lhx3	Mus musculus	Homeo domain factors	HD-LIM factors
MA0139.1_CTCF	MA0139.1	CTCF	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0142.1_Pou5f1::Sox2	MA0142.1	Pou5f1::Sox2	Mus musculus	Homeo domain factors	POU domain factors
MA0142.1_Pou5f1::Sox2	MA0142.1	Pou5f1::Sox2	Mus musculus	High-mobility group (HMG) domain factors	SOX-related factors
MA0149.1_EWSR1-FLI1	MA0149.1	EWSR1-FLI1	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0138.2_REST	MA0138.2	REST	Homo sapiens	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
MA0002.2_RUNX1	MA0002.2	RUNX1	Mus musculus	Runt domain factors	Runt-related factors
MA0065.2_Pparg::Rxra	MA0065.2	Pparg::Rxra	Mus musculus	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0065.2_Pparg::Rxra	MA0065.2	Pparg::Rxra	Mus musculus	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0151.1_Arid3a	MA0151.1	Arid3a	Mus musculus	ARID domain factors	ARID-related factors
MA0152.1_NFATC2	MA0152.1	NFATC2	Mus musculus,Rattus norvegicus,Homo sapiens	Rel homology region (RHR) factors	NFAT-related factors
MA0155.1_INSM1	MA0155.1	INSM1	Homo sapiens	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
MA0159.1_RARA::RXRA	MA0159.1	RARA::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0159.1_RARA::RXRA	MA0159.1	RARA::RXRA	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0160.1_NR4A2	MA0160.1	NR4A2	Mus musculus,Rattus norvegicus,Homo sapiens	Nuclear receptors with C4 zinc fingers	NGFI-B-related receptors (NR4)
MA0163.1_PLAG1	MA0163.1	PLAG1	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0164.1_Nr2e3	MA0164.1	Nr2e3	Mus musculus	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0259.1_ARNT::HIF1A	MA0259.1	ARNT::HIF1A	Mus musculus,Rattus rattus,Homo sapiens,Oryctolagus cuniculus	Basic helix-loop-helix factors (bHLH)	PAS domain factors
MA0146.2_Zfx	MA0146.2	Zfx	Mus musculus	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0467.1_Crx	MA0467.1	Crx	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0468.1_DUX4	MA0468.1	DUX4	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0476.1_FOS	MA0476.1	FOS	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA0478.1_FOSL2	MA0478.1	FOSL2	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA0479.1_FOXH1	MA0479.1	FOXH1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0480.1_Foxo1	MA0480.1	Foxo1	Mus musculus	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0483.1_Gfi1b	MA0483.1	Gfi1b	Mus musculus	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0488.1_JUN	MA0488.1	JUN	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0489.1_JUN(var.2)	MA0489.1	JUN(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0492.1_JUND(var.2)	MA0492.1	JUND(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0493.1_Klf1	MA0493.1	Klf1	Mus musculus	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0494.1_Nr1h3::Rxra	MA0494.1	Nr1h3::Rxra	Mus musculus	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0494.1_Nr1h3::Rxra	MA0494.1	Nr1h3::Rxra	Mus musculus	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0497.1_MEF2C	MA0497.1	MEF2C	Homo sapiens	MADS box factors	Regulators of differentiation
MA0501.1_MAF::NFE2	MA0501.1	MAF::NFE2	Homo sapiens	Basic leucine zipper factors (bZIP)	Maf-related factors
MA0501.1_MAF::NFE2	MA0501.1	MAF::NFE2	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0503.1_Nkx2-5(var.2)	MA0503.1	Nkx2-5(var.2)	Mus musculus	Homeo domain factors	NK-related factors
MA0504.1_NR2C2	MA0504.1	NR2C2	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0505.1_Nr5a2	MA0505.1	Nr5a2	Mus musculus	Nuclear receptors with C4 zinc fingers	FTZ-F1-related receptors (NR5)
MA0506.1_NRF1	MA0506.1	NRF1	Homo sapiens	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0507.1_POU2F2	MA0507.1	POU2F2	Homo sapiens	Homeo domain factors	POU domain factors
MA0513.1_SMAD2::SMAD3::SMAD4	MA0513.1	SMAD2::SMAD3::SMAD4	Homo sapiens	SMAD/NF-1 DNA-binding domain factors	SMAD factors
MA0514.1_Sox3	MA0514.1	Sox3	Mus musculus	High-mobility group (HMG) domain factors	SOX-related factors
MA0515.1_Sox6	MA0515.1	Sox6	Mus musculus	High-mobility group (HMG) domain factors	SOX-related factors
MA0517.1_STAT1::STAT2	MA0517.1	STAT1::STAT2	Homo sapiens	STAT domain factors	STAT factors
MA0518.1_Stat4	MA0518.1	Stat4	Mus musculus	STAT domain factors	STAT factors
MA0519.1_Stat5a::Stat5b	MA0519.1	Stat5a::Stat5b	Mus musculus	STAT domain factors	STAT factors
MA0520.1_Stat6	MA0520.1	Stat6	Mus musculus	STAT domain factors	STAT factors
MA0521.1_Tcf12	MA0521.1	Tcf12	Mus musculus	Basic helix-loop-helix factors (bHLH)	E2A-related factors
MA0523.1_TCF7L2	MA0523.1	TCF7L2	Homo sapiens	High-mobility group (HMG) domain factors	TCF-7-related factors
MA0527.1_ZBTB33	MA0527.1	ZBTB33	Homo sapiens	C2H2 zinc finger factors	Other factors with up to three adjacent zinc fingers
MA0076.2_ELK4	MA0076.2	ELK4	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0258.2_ESR2	MA0258.2	ESR2	Homo sapiens	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
MA0050.2_IRF1	MA0050.2	IRF1	Homo sapiens	Tryptophan cluster factors	Interferon-regulatory factors
MA0150.2_Nfe2l2	MA0150.2	Nfe2l2	Mus musculus	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0137.3_STAT1	MA0137.3	STAT1	Homo sapiens	STAT domain factors	STAT factors
MA0144.2_STAT3	MA0144.2	STAT3	Homo sapiens	STAT domain factors	STAT factors
MA0140.2_GATA1::TAL1	MA0140.2	GATA1::TAL1	Homo sapiens	Other C4 zinc finger-type factors	GATA-type zinc fingers
MA0140.2_GATA1::TAL1	MA0140.2	GATA1::TAL1	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0095.2_YY1	MA0095.2	YY1	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0591.1_Bach1::Mafk	MA0591.1	Bach1::Mafk	Mus musculus	Basic leucine zipper factors (bZIP)	Jun-related factors
MA0591.1_Bach1::Mafk	MA0591.1	Bach1::Mafk	Mus musculus	Basic leucine zipper factors (bZIP)	Maf-related factors
MA0593.1_FOXP2	MA0593.1	FOXP2	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0595.1_SREBF1	MA0595.1	SREBF1	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0596.1_SREBF2	MA0596.1	SREBF2	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0597.1_THAP1	MA0597.1	THAP1	Homo sapiens	C2CH THAP-type zinc finger factors	THAP-related factors
MA0599.1_KLF5	MA0599.1	KLF5	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0601.1_Arid3b	MA0601.1	Arid3b	Mus musculus	ARID domain factors	ARID-related factors
MA0602.1_Arid5a	MA0602.1	Arid5a	Mus musculus	ARID domain factors	ARID-related factors
MA0603.1_Arntl	MA0603.1	Arntl	Mus musculus	Basic helix-loop-helix factors (bHLH)	PAS domain factors
MA0604.1_Atf1	MA0604.1	Atf1	Mus musculus	Basic leucine zipper factors (bZIP)	CREB-related factors
MA0607.1_Bhlha15	MA0607.1	Bhlha15	Mus musculus	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0608.1_Creb3l2	MA0608.1	Creb3l2	Mus musculus	Basic leucine zipper factors (bZIP)	CREB-related factors
MA0610.1_DMRT3	MA0610.1	DMRT3	Homo sapiens	DM-type intertwined zinc finger factors	DMRT factors
MA0611.1_Dux	MA0611.1	Dux	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0613.1_FOXG1	MA0613.1	FOXG1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0614.1_Foxj2	MA0614.1	Foxj2	Mus musculus	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0615.1_Gmeb1	MA0615.1	Gmeb1	Mus musculus	SAND domain factors	GMEB
MA0618.1_LBX1	MA0618.1	LBX1	Homo sapiens	Homeo domain factors	NK-related factors
MA0622.1_Mlxip	MA0622.1	Mlxip	Mus musculus	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0625.1_NFATC3	MA0625.1	NFATC3	Homo sapiens	Rel homology region (RHR) factors	NFAT-related factors
MA0626.1_Npas2	MA0626.1	Npas2	Mus musculus	Basic helix-loop-helix factors (bHLH)	PAS domain factors
MA0628.1_POU6F1	MA0628.1	POU6F1	Homo sapiens	Homeo domain factors	POU domain factors
MA0629.1_Rhox11	MA0629.1	Rhox11	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0630.1_SHOX	MA0630.1	SHOX	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0631.1_Six3	MA0631.1	Six3	Mus musculus	Homeo domain factors	HD-SINE factors
MA0633.1_Twist2	MA0633.1	Twist2	Mus musculus	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0634.1_ALX3	MA0634.1	ALX3	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0007.3_Ar	MA0007.3	Ar	Mus musculus	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
MA0635.1_BARHL2	MA0635.1	BARHL2	Homo sapiens	Homeo domain factors	NK-related factors
MA0636.1_BHLHE41	MA0636.1	BHLHE41	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
MA0637.1_CENPB	MA0637.1	CENPB	Homo sapiens	CENP-B	NA
MA0638.1_CREB3	MA0638.1	CREB3	Homo sapiens	Basic leucine zipper factors (bZIP)	CREB-related factors
MA0639.1_DBP	MA0639.1	DBP	Homo sapiens	Basic leucine zipper factors (bZIP)	C/EBP-related factors
MA0641.1_ELF4	MA0641.1	ELF4	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0136.2_ELF5	MA0136.2	ELF5	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0027.2_EN1	MA0027.2	EN1	Homo sapiens	Homeo domain factors	NK-related factors
MA0642.1_EN2	MA0642.1	EN2	Homo sapiens	Homeo domain factors	NK-related factors
MA0643.1_Esrrg	MA0643.1	Esrrg	Mus musculus	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
MA0644.1_ESX1	MA0644.1	ESX1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0645.1_ETV6	MA0645.1	ETV6	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0475.2_FLI1	MA0475.2	FLI1	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0042.2_FOXI1	MA0042.2	FOXI1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0033.2_FOXL1	MA0033.2	FOXL1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0157.2_FOXO3	MA0157.2	FOXO3	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0646.1_GCM1	MA0646.1	GCM1	Homo sapiens	GCM domain factors	GCM factors
MA0647.1_GRHL1	MA0647.1	GRHL1	Homo sapiens	Grainyhead domain factors	Grainyhead-related factors
MA0648.1_GSC	MA0648.1	GSC	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0649.1_HEY2	MA0649.1	HEY2	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
MA0131.2_HINFP	MA0131.2	HINFP	Homo sapiens	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
MA0046.2_HNF1A	MA0046.2	HNF1A	Homo sapiens	Homeo domain factors	POU domain factors
MA0153.2_HNF1B	MA0153.2	HNF1B	Homo sapiens	Homeo domain factors	POU domain factors
MA0651.1_HOXC11	MA0651.1	HOXC11	Homo sapiens	Homeo domain factors	HOX-related factors
MA0486.2_HSF1	MA0486.2	HSF1	Homo sapiens	Heat shock factors	HSF factors
MA0652.1_IRF8	MA0652.1	IRF8	Homo sapiens	Tryptophan cluster factors	Interferon-regulatory factors
MA0653.1_IRF9	MA0653.1	IRF9	Homo sapiens	Tryptophan cluster factors	Interferon-regulatory factors
MA0654.1_ISX	MA0654.1	ISX	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0655.1_JDP2	MA0655.1	JDP2	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA0656.1_JDP2(var.2)	MA0656.1	JDP2(var.2)	Homo sapiens	Basic leucine zipper factors (bZIP)	Fos-related factors
MA0657.1_KLF13	MA0657.1	KLF13	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0658.1_LHX6	MA0658.1	LHX6	Homo sapiens	Homeo domain factors	HD-LIM factors
MA0660.1_MEF2B	MA0660.1	MEF2B	Homo sapiens	MADS box factors	Regulators of differentiation
MA0661.1_MEOX1	MA0661.1	MEOX1	Homo sapiens	Homeo domain factors	HOX-related factors
MA0662.1_MIXL1	MA0662.1	MIXL1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0663.1_MLX	MA0663.1	MLX	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0664.1_MLXIPL	MA0664.1	MLXIPL	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0665.1_MSC	MA0665.1	MSC	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0666.1_MSX1	MA0666.1	MSX1	Homo sapiens	Homeo domain factors	NK-related factors
MA0667.1_MYF6	MA0667.1	MYF6	Homo sapiens	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors
MA0668.1_NEUROD2	MA0668.1	NEUROD2	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0669.1_NEUROG2	MA0669.1	NEUROG2	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0670.1_NFIA	MA0670.1	NFIA	Homo sapiens	SMAD/NF-1 DNA-binding domain factors	Nuclear factor 1
MA0671.1_NFIX	MA0671.1	NFIX	Homo sapiens	SMAD/NF-1 DNA-binding domain factors	Nuclear factor 1
MA0048.2_NHLH1	MA0048.2	NHLH1	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0672.1_NKX2-3	MA0672.1	NKX2-3	Homo sapiens	Homeo domain factors	NK-related factors
MA0673.1_NKX2-8	MA0673.1	NKX2-8	Homo sapiens	Homeo domain factors	NK-related factors
MA0674.1_NKX6-1	MA0674.1	NKX6-1	Homo sapiens	Homeo domain factors	NK-related factors
MA0675.1_NKX6-2	MA0675.1	NKX6-2	Homo sapiens	Homeo domain factors	NK-related factors
MA0676.1_Nr2e1	MA0676.1	Nr2e1	Mus musculus	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0677.1_Nr2f6	MA0677.1	Nr2f6	Mus musculus	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0678.1_OLIG2	MA0678.1	OLIG2	Homo sapiens	Basic helix-loop-helix factors (bHLH)	Tal-related factors
MA0068.2_PAX4	MA0068.2	PAX4	Homo sapiens	Paired box factors	Paired plus homeo domain
MA0680.1_PAX7	MA0680.1	PAX7	Homo sapiens	Paired box factors	Paired plus homeo domain
MA0683.1_POU4F2	MA0683.1	POU4F2	Homo sapiens	Homeo domain factors	POU domain factors
MA0512.2_Rxra	MA0512.2	Rxra	Mus musculus	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0685.1_SP4	MA0685.1	SP4	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0686.1_SPDEF	MA0686.1	SPDEF	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0687.1_SPIC	MA0687.1	SPIC	Homo sapiens	Tryptophan cluster factors	Ets-related factors
MA0083.3_SRF	MA0083.3	SRF	Homo sapiens	MADS box factors	Responders to external signals (SRF/RLM1)
MA0009.2_TBXT	MA0009.2	TBXT	Homo sapiens	T-Box factors	Brachyury-related factors
MA0688.1_TBX2	MA0688.1	TBX2	Homo sapiens	T-Box factors	TBX2-related factors
MA0689.1_TBX20	MA0689.1	TBX20	Homo sapiens	T-Box factors	TBX1-related factors
MA0690.1_TBX21	MA0690.1	TBX21	Homo sapiens	T-Box factors	TBrain-related factors
MA0691.1_TFAP4	MA0691.1	TFAP4	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0145.3_TFCP2	MA0145.3	TFCP2	Homo sapiens	Grainyhead domain factors	CP2-related factors
MA0692.1_TFEB	MA0692.1	TFEB	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0694.1_ZBTB7B	MA0694.1	ZBTB7B	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0695.1_ZBTB7C	MA0695.1	ZBTB7C	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0696.1_ZIC1	MA0696.1	ZIC1	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0697.1_ZIC3	MA0697.1	ZIC3	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0698.1_ZBTB18	MA0698.1	ZBTB18	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0699.1_LBX2	MA0699.1	LBX2	Homo sapiens	Homeo domain factors	NK-related factors
MA0704.1_Lhx4	MA0704.1	Lhx4	Mus musculus	Homeo domain factors	HD-LIM factors
MA0705.1_Lhx8	MA0705.1	Lhx8	Mus musculus	Homeo domain factors	HD-LIM factors
MA0706.1_MEOX2	MA0706.1	MEOX2	Homo sapiens	Homeo domain factors	HOX-related factors
MA0707.1_MNX1	MA0707.1	MNX1	Homo sapiens	Homeo domain factors	HOX-related factors
MA0708.1_MSX2	MA0708.1	MSX2	Homo sapiens	Homeo domain factors	NK-related factors
MA0709.1_Msx3	MA0709.1	Msx3	Mus musculus	Homeo domain factors	NK-related factors
MA0710.1_NOTO	MA0710.1	NOTO	Homo sapiens	Homeo domain factors	NK-related factors
MA0124.2_Nkx3-1	MA0124.2	Nkx3-1	Mus musculus	Homeo domain factors	NK-related factors
MA0711.1_OTX1	MA0711.1	OTX1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0132.2_PDX1	MA0132.2	PDX1	Homo sapiens	Homeo domain factors	HOX-related factors
MA0713.1_PHOX2A	MA0713.1	PHOX2A	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0714.1_PITX3	MA0714.1	PITX3	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0715.1_PROP1	MA0715.1	PROP1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0716.1_PRRX1	MA0716.1	PRRX1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0717.1_RAX2	MA0717.1	RAX2	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0718.1_RAX	MA0718.1	RAX	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0719.1_RHOXF1	MA0719.1	RHOXF1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0720.1_Shox2	MA0720.1	Shox2	Mus musculus	Homeo domain factors	Paired-related HD factors
MA0721.1_UNCX	MA0721.1	UNCX	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0722.1_VAX1	MA0722.1	VAX1	Homo sapiens	Homeo domain factors	NK-related factors
MA0723.1_VAX2	MA0723.1	VAX2	Homo sapiens	Homeo domain factors	NK-related factors
MA0724.1_VENTX	MA0724.1	VENTX	Homo sapiens	Homeo domain factors	NK-related factors
MA0725.1_VSX1	MA0725.1	VSX1	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0726.1_VSX2	MA0726.1	VSX2	Homo sapiens	Homeo domain factors	Paired-related HD factors
MA0112.3_ESR1	MA0112.3	ESR1	Homo sapiens	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
MA0141.3_ESRRB	MA0141.3	ESRRB	Homo sapiens	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
MA0017.2_NR2F1	MA0017.2	NR2F1	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0113.3_NR3C1	MA0113.3	NR3C1	Homo sapiens	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
MA0727.1_NR3C2	MA0727.1	NR3C2	Homo sapiens	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
MA0728.1_Nr2f6(var.2)	MA0728.1	Nr2f6(var.2)	Mus musculus	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
MA0729.1_RARA	MA0729.1	RARA	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0730.1_RARA(var.2)	MA0730.1	RARA(var.2)	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0731.1_BCL6B	MA0731.1	BCL6B	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0472.2_EGR2	MA0472.2	EGR2	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0732.1_EGR3	MA0732.1	EGR3	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0733.1_EGR4	MA0733.1	EGR4	Homo sapiens	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors
MA0735.1_GLIS1	MA0735.1	GLIS1	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0736.1_GLIS2	MA0736.1	GLIS2	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0737.1_GLIS3	MA0737.1	GLIS3	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0738.1_HIC2	MA0738.1	HIC2	Homo sapiens	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
